Follower Athlete ID,Follow Status,Created At
18668811,Accepted,"Sep 15, 2019, 4:44:46 PM"
46586101,Accepted,"Sep 17, 2019, 9:36:57 PM"
47011529,Accepted,"Oct 7, 2019, 4:57:19 PM"
22735634,Accepted,"Oct 12, 2019, 9:25:05 PM"
49707932,Accepted,"Jan 6, 2020, 11:28:00 PM"
12839971,Accepted,"Mar 20, 2020, 1:12:25 AM"
38047564,Accepted,"Apr 16, 2020, 12:16:11 AM"
52693243,Accepted,"Apr 24, 2020, 12:52:48 AM"
60464770,Accepted,"Jun 5, 2020, 5:03:50 AM"
29778079,Accepted,"Jun 5, 2020, 3:37:02 PM"
48004384,Accepted,"Jun 7, 2020, 11:49:37 PM"
50552574,Accepted,"Jun 18, 2020, 1:27:25 AM"
57961903,Accepted,"Sep 3, 2020, 11:02:32 PM"
48468031,Accepted,"Sep 8, 2020, 9:01:12 PM"
44662524,Accepted,"Sep 12, 2020, 9:12:05 AM"
68274585,Accepted,"Oct 11, 2020, 9:11:00 AM"
72197302,Accepted,"Dec 8, 2020, 1:44:31 PM"
78831211,Accepted,"Feb 18, 2021, 6:09:03 AM"
78537237,Accepted,"Apr 11, 2021, 5:59:13 PM"
80338628,Accepted,"Apr 13, 2021, 5:32:31 PM"
80934957,Accepted,"Apr 26, 2021, 3:58:04 AM"
56718735,Accepted,"Jun 10, 2021, 11:38:14 PM"
83687267,Accepted,"Jun 11, 2021, 10:15:38 PM"
86770954,Accepted,"Jul 13, 2021, 7:11:40 AM"
75964559,Accepted,"Jul 15, 2021, 4:06:34 AM"
43832657,Accepted,"Jul 16, 2021, 3:00:59 AM"
41991292,Accepted,"Jul 23, 2021, 10:36:07 PM"
89925643,Accepted,"Aug 3, 2021, 1:12:26 AM"
14683943,Accepted,"Aug 23, 2021, 5:37:59 AM"
63186025,Accepted,"Aug 25, 2021, 9:35:01 PM"
55806453,Accepted,"Sep 2, 2021, 3:46:59 AM"
24872506,Accepted,"Sep 7, 2021, 8:23:15 AM"
39025827,Accepted,"Sep 27, 2021, 8:22:30 PM"
15536575,Accepted,"Oct 4, 2021, 11:01:17 PM"
10184243,Accepted,"Oct 6, 2021, 12:23:09 AM"
47384917,Accepted,"Oct 6, 2021, 4:06:59 AM"
91223014,Accepted,"Oct 15, 2021, 8:43:48 PM"
52841877,Accepted,"Nov 14, 2021, 6:32:36 AM"
