Join Date,Name,Completed
"Oct 30, 2019, 11:16:59 PM",November Running Distance Challenge,false
"Nov 9, 2019, 5:11:13 PM",Metro Commute Challenge,false
"Nov 25, 2019, 4:40:53 PM",Picky Bars Turkey Week Workout Streak,false
"Feb 20, 2020, 7:25:41 AM",Crush It 4 Climate,true
"Feb 24, 2020, 7:02:01 PM",Ladder Six Hour Challenge,true
"Mar 27, 2020, 6:45:38 AM",April 10K,true
"Mar 29, 2020, 10:55:47 PM",April Gran Fondo,true
"Mar 29, 2020, 10:57:47 PM",April Workout Challenge,false
"Apr 1, 2020, 5:00:49 PM","Bigfoot, The Social Distancing Champion's 5K",true
"Apr 24, 2020, 7:41:07 PM",Honey Stinger 50 Plus,false
"Apr 29, 2020, 4:19:24 PM",May 10K,false
"Jun 5, 2020, 5:02:22 AM",June Gran Fondo,true
"Jun 5, 2020, 5:02:29 AM",June Cycling Challenge,false
"Jun 5, 2020, 5:03:40 AM",June Cycling Climbing Challenge,false
"Mar 24, 2021, 6:22:22 PM",1% Better,true
